Employee Number,Employee Full Name,Date of Birth,Gender,Position Type,Division,Function Name,Recruitment Type,Joined On,Confirmation Date,Position Job Level (Label),Employee Type,Employee Status,Assignment Status,Last Promotion Date
925292,Avni Shukla,12-12-1998,Male,Part-time,Division C,Operations,Internal,19-05-2024,20-05-2023,Senior,Permanent,Active,Unassigned,19-11-2020
112772,Aditya Kumar,26-04-1974,Male,Full-time,Division B,Operations,Internal,12-03-2021,30-12-2020,Mid,Permanent,Active,Unassigned,23-04-2021
474225,Aarav Sharma,23-03-1970,Male,Contract,Division B,Marketing,External,26-07-2022,05-11-2021,Junior,Contractual,Inactive,Unassigned,18-05-2022
842999,Vihaan Agarwal,21-05-2004,Female,Full-time,Division B,Marketing,External,02-01-2020,07-07-2019,Senior,Contractual,Active,Assigned,01-06-2023
284074,Aadhya Verma,02-08-1980,Female,Contract,Division A,Operations,Internal,17-07-2024,29-08-2020,Mid,Temporary,Active,Unassigned,21-03-2022
682721,Aarohi Jain,13-01-1975,Male,Part-time,Division C,Marketing,External,13-04-2022,13-07-2021,Lead,Permanent,Active,Assigned,12-12-2020
669925,Sai Krishna,05-10-1999,Male,Full-time,Division B,Operations,External,27-06-2020,05-02-2020,Lead,Temporary,Active,Unassigned,12-07-2021
404149,Vihaan Agarwal,17-03-1979,Female,Part-time,Division C,Operations,Internal,26-03-2021,08-09-2020,Senior,Temporary,Active,Assigned,03-06-2021
880751,Aarohi Jain,09-03-1975,Female,Full-time,Division A,Operations,Internal,12-07-2021,15-11-2020,Lead,Temporary,Inactive,Unassigned,11-03-2023
479301,Myra Kapoor,10-10-1966,Male,Full-time,Division C,Operations,Internal,02-09-2022,10-05-2022,Lead,Contractual,Active,Assigned,17-03-2022
469935,Ayaan Roy,21-10-1975,Female,Full-time,Division A,Operations,External,03-01-2020,12-05-2019,Mid,Temporary,Active,Assigned,17-06-2021
928525,Krishna Nair,26-10-1974,Female,Full-time,Division C,Operations,Internal,24-01-2024,27-04-2023,Junior,Temporary,Inactive,Assigned,03-06-2022
811898,Reyansh Gupta,20-08-1984,Female,Full-time,Division C,Operations,External,13-09-2022,10-06-2020,Senior,Temporary,Inactive,Unassigned,24-04-2023
735586,Aarya Mishra,05-11-1982,Male,Part-time,Division C,Marketing,External,30-04-2022,23-01-2020,Senior,Temporary,Active,Unassigned,20-07-2022
624654,Ayaan Roy,25-04-1983,Female,Full-time,Division B,Operations,External,04-01-2021,12-07-2020,Junior,Temporary,Active,Assigned,07-09-2020
273507,Anika Desai,08-03-1994,Female,Contract,Division C,Operations,External,17-02-2023,30-12-2021,Junior,Temporary,Active,Assigned,24-08-2021
553477,Vivaan Patel,24-04-1974,Male,Contract,Division C,Operations,External,03-02-2024,24-04-2023,Senior,Contractual,Active,Unassigned,01-01-2023
675089,Anika Desai,20-11-1987,Male,Part-time,Division B,Operations,External,09-11-2020,30-07-2020,Mid,Temporary,Active,Assigned,22-02-2020
540358,Reyansh Gupta,11-10-1965,Male,Full-time,Division A,Operations,Internal,21-01-2023,04-08-2022,Senior,Temporary,Active,Unassigned,24-04-2024
386954,Reyansh Gupta,06-08-1963,Male,Contract,Division C,Operations,Internal,03-10-2020,18-05-2020,Mid,Temporary,Active,Unassigned,31-07-2022
409038,Vihaan Agarwal,01-09-1983,Female,Full-time,Division C,Operations,Internal,12-06-2020,20-10-2019,Mid,Temporary,Active,Unassigned,28-08-2021
621533,Riya Pandey,26-02-1975,Male,Part-time,Division B,Marketing,Internal,18-05-2020,27-12-2019,Senior,Permanent,Active,Unassigned,01-08-2021
393762,Anika Desai,24-02-1991,Female,Full-time,Division A,Operations,Internal,19-11-2022,16-01-2022,Junior,Contractual,Active,Unassigned,24-12-2020
267774,Avni Shukla,13-05-1975,Female,Contract,Division B,Operations,External,21-03-2020,02-06-2019,Senior,Contractual,Active,Assigned,21-10-2021
129980,Riya Pandey,02-12-2001,Female,Contract,Division C,Operations,External,03-02-2020,28-08-2019,Mid,Contractual,Active,Unassigned,05-06-2021
410857,Riya Pandey,27-02-1998,Male,Contract,Division A,Operations,External,27-09-2023,16-01-2023,Mid,Temporary,Active,Unassigned,26-01-2020
808078,Aditya Kumar,21-10-2000,Female,Contract,Division C,Operations,Internal,08-07-2020,30-10-2019,Junior,Contractual,Active,Unassigned,27-02-2022
778951,Arjun Reddy,30-01-1976,Male,Part-time,Division C,Operations,External,06-11-2021,17-06-2021,Mid,Temporary,Inactive,Assigned,29-03-2023
283884,Arjun Reddy,02-11-1991,Female,Contract,Division A,Operations,External,26-11-2022,22-10-2022,Senior,Permanent,Active,Unassigned,20-12-2022
599199,Riya Pandey,19-12-2005,Female,Full-time,Division C,Operations,External,06-10-2021,19-04-2020,Junior,Contractual,Active,Assigned,22-06-2021
271012,Ira Joshi,28-12-1971,Female,Contract,Division C,Marketing,Internal,05-08-2021,01-01-2021,Lead,Contractual,Active,Assigned,15-11-2020
522299,Reyansh Gupta,17-10-1970,Male,Part-time,Division A,Operations,External,23-12-2020,08-01-2020,Junior,Contractual,Active,Assigned,29-12-2021
919510,Avni Shukla,11-10-1975,Female,Full-time,Division A,Operations,Internal,17-08-2021,05-07-2021,Junior,Contractual,Active,Assigned,28-02-2021
709404,Krishna Nair,25-01-1980,Male,Contract,Division B,Operations,External,10-11-2021,25-09-2021,Lead,Temporary,Active,Unassigned,28-09-2021
449684,Myra Kapoor,13-09-1974,Female,Part-time,Division A,Operations,External,29-08-2023,17-08-2020,Lead,Temporary,Active,Assigned,28-12-2023
272975,Diya Shah,09-01-2001,Female,Full-time,Division A,Operations,External,19-12-2023,27-03-2023,Junior,Permanent,Active,Assigned,09-04-2024
513175,Ananya Mehta,12-03-1966,Female,Full-time,Division A,Operations,Internal,19-09-2023,22-02-2023,Senior,Contractual,Active,Unassigned,20-12-2022
573460,Diya Shah,03-09-1969,Male,Part-time,Division B,Operations,External,26-02-2024,30-05-2022,Junior,Temporary,Active,Unassigned,18-02-2022
611494,Vihaan Agarwal,09-03-2003,Female,Full-time,Division B,Operations,Internal,01-02-2021,04-10-2020,Lead,Permanent,Active,Unassigned,07-02-2021
534857,Myra Kapoor,10-02-2005,Female,Full-time,Division B,Operations,Internal,29-09-2021,03-11-2020,Mid,Contractual,Inactive,Assigned,07-02-2024
412256,Aarohi Jain,11-01-1967,Female,Contract,Division B,Operations,Internal,21-05-2023,02-02-2020,Senior,Temporary,Active,Unassigned,24-04-2022
595903,Vivaan Patel,31-10-1975,Male,Full-time,Division C,Operations,Internal,23-10-2020,19-01-2020,Mid,Contractual,Active,Assigned,16-10-2020
869571,Vivaan Patel,16-11-1967,Male,Part-time,Division C,Operations,Internal,03-01-2020,01-02-2019,Lead,Contractual,Active,Assigned,15-06-2022
197431,Diya Shah,28-03-1987,Male,Contract,Division B,Operations,External,31-10-2023,05-10-2021,Senior,Contractual,Active,Assigned,30-10-2022
407188,Myra Kapoor,30-07-1980,Female,Part-time,Division B,Operations,Internal,10-06-2021,23-01-2021,Junior,Permanent,Inactive,Assigned,22-11-2023
532754,Aarav Sharma,28-03-1972,Female,Part-time,Division B,Operations,External,09-05-2024,24-10-2023,Mid,Temporary,Active,Assigned,02-05-2022
479981,Reyansh Gupta,01-05-1999,Female,Part-time,Division B,Operations,Internal,09-03-2021,24-01-2021,Lead,Contractual,Active,Assigned,26-07-2020
631983,Aditya Kumar,10-08-1976,Male,Full-time,Division B,Operations,External,08-01-2022,24-10-2021,Junior,Temporary,Active,Unassigned,05-07-2022
131396,Aarav Sharma,14-04-2005,Male,Part-time,Division B,Operations,External,25-05-2024,15-04-2020,Senior,Temporary,Active,Assigned,06-03-2022
349975,Diya Shah,01-08-1985,Male,Full-time,Division C,Operations,Internal,16-03-2024,06-05-2023,Lead,Permanent,Inactive,Assigned,21-02-2024
997859,Ayaan Roy,01-05-1972,Female,Part-time,Division C,Operations,Internal,04-07-2021,26-02-2021,Lead,Temporary,Active,Unassigned,29-06-2024
387026,Sai Krishna,01-10-1987,Female,Full-time,Division A,Operations,Internal,05-05-2023,03-12-2022,Mid,Temporary,Active,Assigned,12-10-2022
534820,Ishaan Singh,19-04-1989,Female,Part-time,Division A,Operations,Internal,09-05-2022,04-03-2021,Senior,Contractual,Active,Unassigned,08-11-2020
259000,Vihaan Agarwal,28-01-1981,Female,Part-time,Division A,Marketing,Internal,17-11-2023,21-07-2023,Lead,Permanent,Active,Assigned,16-05-2024
330896,Anika Desai,08-04-2005,Male,Part-time,Division A,Marketing,Internal,14-10-2021,27-02-2021,Senior,Permanent,Active,Unassigned,29-04-2021
304660,Aarav Sharma,25-12-1973,Male,Full-time,Division C,Operations,External,25-08-2021,19-11-2020,Junior,Contractual,Active,Unassigned,16-04-2022
762980,Ananya Mehta,23-12-1973,Male,Part-time,Division C,Operations,External,12-06-2021,19-04-2020,Senior,Permanent,Active,Unassigned,13-02-2020
520552,Ayaan Roy,26-01-1995,Male,Part-time,Division B,Marketing,Internal,18-08-2020,14-10-2019,Lead,Contractual,Active,Unassigned,25-05-2021
693976,Anika Desai,21-02-1967,Female,Contract,Division B,Operations,External,12-05-2022,28-10-2020,Lead,Permanent,Inactive,Assigned,08-01-2023
733793,Ananya Mehta,19-01-1981,Male,Full-time,Division B,Operations,Internal,31-01-2020,29-06-2019,Senior,Temporary,Active,Unassigned,12-12-2021
897691,Ananya Mehta,06-09-1992,Male,Part-time,Division A,Operations,External,04-04-2022,04-05-2021,Lead,Permanent,Inactive,Unassigned,23-05-2021
111343,Ayaan Roy,11-05-1991,Male,Contract,Division A,Operations,External,12-12-2020,15-02-2020,Senior,Permanent,Active,Unassigned,29-10-2021
487803,Aarya Mishra,04-11-1966,Female,Full-time,Division A,Operations,Internal,07-02-2020,22-05-2019,Senior,Contractual,Inactive,Assigned,12-11-2022
240831,Myra Kapoor,07-05-1989,Male,Full-time,Division B,Operations,External,01-06-2024,20-06-2023,Senior,Temporary,Active,Unassigned,14-05-2021
808064,Myra Kapoor,18-06-1989,Female,Full-time,Division A,Operations,Internal,18-03-2020,28-07-2019,Lead,Permanent,Active,Unassigned,15-07-2021
325380,Vihaan Agarwal,25-10-1968,Male,Contract,Division C,Operations,External,09-10-2023,18-05-2023,Mid,Temporary,Active,Assigned,03-01-2022
589917,Vivaan Patel,16-02-1996,Female,Part-time,Division C,Marketing,External,26-05-2023,02-04-2023,Mid,Contractual,Active,Unassigned,28-01-2021
569909,Aadhya Verma,11-02-1995,Male,Contract,Division B,Operations,Internal,22-06-2024,21-11-2022,Lead,Permanent,Active,Assigned,05-10-2022
645354,Aditya Kumar,04-04-1984,Female,Full-time,Division A,Marketing,External,03-06-2022,28-02-2022,Mid,Contractual,Inactive,Assigned,05-12-2020
755818,Vivaan Patel,10-11-1991,Male,Part-time,Division A,Operations,Internal,31-05-2020,06-02-2020,Mid,Temporary,Active,Unassigned,11-05-2024
701353,Vivaan Patel,04-07-1993,Male,Full-time,Division A,Marketing,External,03-03-2022,28-08-2021,Senior,Temporary,Active,Assigned,24-02-2021
262182,Aarya Mishra,10-09-1964,Female,Full-time,Division C,Operations,Internal,18-05-2023,15-05-2022,Junior,Permanent,Active,Assigned,03-06-2024
230899,Aditya Kumar,18-09-2005,Female,Part-time,Division B,Marketing,External,04-04-2022,20-02-2022,Junior,Permanent,Active,Assigned,27-04-2024
459902,Vivaan Patel,20-07-1994,Male,Contract,Division A,Marketing,External,14-10-2022,09-03-2022,Lead,Permanent,Active,Unassigned,28-09-2022
812704,Vivaan Patel,06-07-1978,Female,Full-time,Division B,Operations,Internal,03-07-2023,17-07-2020,Lead,Permanent,Active,Unassigned,04-03-2022
887880,Aadhya Verma,30-05-1994,Female,Contract,Division B,Operations,Internal,23-05-2023,21-03-2022,Junior,Permanent,Inactive,Unassigned,15-09-2023
470150,Vihaan Agarwal,12-02-1988,Male,Part-time,Division B,Operations,Internal,23-05-2023,27-05-2021,Lead,Temporary,Active,Unassigned,20-10-2022
444868,Diya Shah,11-03-1986,Female,Part-time,Division B,Operations,External,24-02-2022,04-05-2021,Senior,Temporary,Active,Assigned,20-08-2022
636032,Aarya Mishra,17-12-1964,Female,Full-time,Division A,Marketing,External,25-05-2021,24-06-2020,Senior,Temporary,Active,Unassigned,29-03-2021
597587,Aarav Sharma,12-02-1964,Male,Full-time,Division B,Operations,Internal,31-08-2021,20-06-2021,Lead,Contractual,Active,Unassigned,25-01-2024
163911,Aadhya Verma,06-09-1967,Male,Contract,Division B,Operations,External,27-06-2024,03-06-2020,Mid,Temporary,Active,Assigned,18-12-2020
814268,Diya Shah,24-12-1983,Male,Full-time,Division C,Marketing,Internal,11-01-2022,07-11-2021,Junior,Permanent,Active,Assigned,23-06-2024
323655,Aarya Mishra,24-06-1970,Male,Full-time,Division C,Marketing,External,28-05-2022,13-05-2022,Mid,Permanent,Active,Assigned,15-09-2023
592401,Ananya Mehta,04-09-1983,Male,Contract,Division A,Operations,External,29-07-2022,15-10-2021,Junior,Temporary,Active,Unassigned,13-12-2021
792285,Myra Kapoor,16-11-1997,Female,Contract,Division C,Operations,External,26-06-2023,01-01-2020,Mid,Permanent,Inactive,Assigned,02-01-2021
741138,Ananya Mehta,04-02-2001,Female,Part-time,Division B,Marketing,Internal,05-04-2023,08-03-2022,Lead,Permanent,Active,Unassigned,07-01-2021
296792,Reyansh Gupta,26-12-2000,Male,Part-time,Division B,Operations,External,16-08-2020,26-09-2019,Lead,Temporary,Active,Unassigned,30-08-2020
651929,Vihaan Agarwal,08-09-1977,Male,Part-time,Division B,Marketing,Internal,08-08-2022,20-04-2022,Junior,Temporary,Active,Unassigned,09-03-2024
367619,Aarya Mishra,10-12-1964,Male,Contract,Division A,Operations,Internal,21-02-2020,08-11-2019,Lead,Permanent,Inactive,Unassigned,02-03-2023
885155,Riya Pandey,05-06-1982,Female,Contract,Division B,Operations,Internal,16-11-2022,03-10-2022,Junior,Contractual,Inactive,Unassigned,26-06-2022
557397,Riya Pandey,03-12-1966,Male,Part-time,Division C,Operations,Internal,12-04-2022,25-11-2021,Junior,Permanent,Inactive,Assigned,07-08-2023
261362,Ira Joshi,16-02-1989,Female,Part-time,Division C,Operations,External,06-11-2021,30-09-2020,Junior,Contractual,Inactive,Unassigned,16-09-2020
731060,Aarohi Jain,20-06-1979,Male,Contract,Division A,Marketing,External,25-09-2023,17-09-2023,Senior,Temporary,Active,Assigned,02-08-2021
909350,Anika Desai,01-11-1994,Male,Full-time,Division C,Marketing,Internal,14-04-2020,29-09-2019,Mid,Permanent,Active,Assigned,12-08-2023
991500,Myra Kapoor,26-10-2005,Female,Full-time,Division B,Marketing,Internal,18-02-2022,26-02-2020,Senior,Contractual,Active,Assigned,09-02-2020
559483,Ayaan Roy,06-06-1997,Male,Contract,Division C,Operations,External,25-09-2021,21-01-2021,Mid,Temporary,Active,Unassigned,06-07-2021
313167,Vivaan Patel,21-09-1999,Male,Part-time,Division B,Operations,Internal,02-04-2021,20-11-2020,Lead,Temporary,Active,Unassigned,27-06-2021
225137,Arjun Reddy,31-01-1984,Female,Contract,Division A,Operations,External,21-10-2021,19-01-2021,Senior,Contractual,Active,Assigned,20-04-2021
541474,Riya Pandey,10-11-2004,Male,Full-time,Division C,Operations,Internal,15-12-2023,02-05-2022,Mid,Temporary,Active,Assigned,24-01-2024
171840,Ira Joshi,11-11-1986,Female,Full-time,Division A,Operations,Internal,14-03-2022,04-10-2021,Mid,Contractual,Active,Assigned,17-06-2021
675593,Ishaan Singh,12-05-1992,Male,Part-time,Division C,Operations,Internal,17-09-2022,23-09-2021,Lead,Contractual,Active,Unassigned,30-09-2022
407270,Avni Shukla,20-03-1995,Male,Full-time,Division A,Operations,Internal,01-12-2020,05-06-2020,Lead,Permanent,Inactive,Unassigned,12-09-2021
863697,Arjun Reddy,13-11-1989,Female,Contract,Division A,Operations,Internal,15-08-2022,17-07-2022,Lead,Contractual,Active,Unassigned,05-09-2021
661610,Ishaan Singh,06-07-1970,Male,Contract,Division C,Operations,Internal,01-02-2023,23-01-2023,Mid,Contractual,Active,Unassigned,19-01-2020
644284,Ananya Mehta,30-11-1994,Female,Full-time,Division B,Operations,Internal,14-12-2020,16-07-2020,Mid,Temporary,Active,Assigned,18-12-2023
199606,Aarohi Jain,07-06-2004,Female,Full-time,Division C,Operations,External,21-02-2020,13-09-2019,Junior,Permanent,Inactive,Unassigned,29-11-2020
395719,Ira Joshi,15-04-1994,Male,Part-time,Division A,Marketing,Internal,20-05-2020,13-06-2019,Senior,Temporary,Active,Unassigned,11-09-2020
169421,Arjun Reddy,10-03-1974,Male,Contract,Division A,Marketing,External,11-06-2020,10-04-2020,Mid,Temporary,Inactive,Unassigned,23-10-2022
516556,Ayaan Roy,30-03-1968,Female,Contract,Division B,Operations,Internal,26-04-2022,31-08-2021,Senior,Temporary,Active,Assigned,25-03-2024
418867,Avni Shukla,25-05-1968,Female,Full-time,Division C,Operations,External,22-03-2022,18-01-2022,Junior,Permanent,Active,Unassigned,07-03-2023
944131,Diya Shah,02-10-1987,Male,Part-time,Division A,Operations,External,26-12-2020,03-08-2020,Mid,Temporary,Active,Unassigned,22-12-2021
488934,Reyansh Gupta,16-10-1985,Male,Contract,Division B,Operations,External,28-06-2022,09-12-2021,Mid,Contractual,Active,Unassigned,25-11-2023
304696,Reyansh Gupta,14-09-1963,Female,Part-time,Division C,Operations,Internal,27-04-2021,18-10-2020,Junior,Permanent,Active,Unassigned,12-07-2024
983957,Ananya Mehta,10-09-1997,Male,Contract,Division B,Operations,Internal,17-09-2023,03-12-2020,Junior,Contractual,Active,Assigned,21-08-2021
508271,Anika Desai,14-11-2001,Female,Full-time,Division A,Operations,External,01-11-2022,14-07-2022,Junior,Temporary,Inactive,Assigned,08-06-2024
579043,Aarya Mishra,25-12-2001,Male,Full-time,Division B,Operations,External,21-12-2022,12-02-2022,Senior,Contractual,Inactive,Unassigned,06-06-2020
291468,Riya Pandey,01-03-2006,Female,Full-time,Division A,Operations,External,15-07-2020,06-04-2020,Mid,Contractual,Active,Unassigned,25-08-2021
266674,Ananya Mehta,20-09-1997,Female,Full-time,Division A,Marketing,Internal,15-02-2024,19-10-2023,Senior,Temporary,Active,Assigned,01-12-2020
676326,Ishaan Singh,22-05-2001,Male,Part-time,Division B,Operations,Internal,20-04-2021,17-07-2020,Senior,Permanent,Active,Unassigned,04-04-2023
394149,Ananya Mehta,30-11-1981,Female,Full-time,Division B,Operations,Internal,22-08-2023,08-04-2020,Lead,Temporary,Active,Unassigned,21-04-2022
300603,Vihaan Agarwal,08-03-1980,Female,Full-time,Division A,Operations,External,19-02-2023,06-05-2022,Senior,Temporary,Active,Unassigned,07-04-2024
746756,Vivaan Patel,06-01-1981,Female,Full-time,Division C,Operations,External,20-07-2020,09-09-2019,Lead,Contractual,Active,Unassigned,01-12-2023
533215,Ayaan Roy,04-05-1987,Male,Part-time,Division A,Operations,External,06-09-2022,22-04-2020,Junior,Permanent,Active,Assigned,06-08-2020
677072,Ayaan Roy,20-11-1993,Male,Part-time,Division B,Operations,External,14-03-2020,15-11-2019,Junior,Temporary,Active,Assigned,31-07-2023
764356,Myra Kapoor,03-07-1976,Female,Part-time,Division C,Marketing,External,11-08-2023,27-08-2021,Junior,Contractual,Active,Unassigned,17-09-2022
520696,Reyansh Gupta,06-09-1978,Female,Full-time,Division C,Marketing,Internal,30-08-2021,14-12-2020,Lead,Temporary,Active,Assigned,17-09-2021
389499,Anika Desai,17-04-1984,Female,Contract,Division A,Marketing,Internal,29-10-2020,17-05-2020,Junior,Contractual,Active,Unassigned,06-03-2021
423610,Aadhya Verma,04-07-1997,Male,Contract,Division B,Operations,Internal,02-11-2020,06-07-2020,Junior,Permanent,Active,Unassigned,24-04-2021
502314,Aadhya Verma,06-08-1972,Female,Full-time,Division B,Marketing,Internal,08-12-2020,24-03-2020,Lead,Permanent,Active,Assigned,26-04-2023
885941,Aarav Sharma,14-06-1996,Male,Part-time,Division B,Operations,External,29-08-2022,01-11-2020,Senior,Contractual,Active,Unassigned,31-12-2022
116596,Aarav Sharma,13-01-1999,Male,Part-time,Division B,Marketing,External,10-07-2023,25-08-2021,Junior,Contractual,Inactive,Assigned,14-06-2022
124134,Aarohi Jain,26-07-1992,Male,Full-time,Division B,Marketing,Internal,01-07-2021,08-09-2020,Mid,Temporary,Inactive,Assigned,10-12-2020
373972,Avni Shukla,07-01-1981,Male,Contract,Division B,Operations,External,14-09-2022,04-12-2020,Lead,Contractual,Active,Unassigned,01-04-2022
137333,Arjun Reddy,21-08-1976,Female,Full-time,Division C,Marketing,Internal,28-12-2023,08-10-2023,Mid,Temporary,Active,Unassigned,16-07-2021
872083,Myra Kapoor,26-09-1978,Female,Contract,Division A,Operations,External,04-11-2021,12-11-2020,Senior,Permanent,Active,Unassigned,14-05-2021
399658,Riya Pandey,03-08-2005,Female,Part-time,Division C,Operations,Internal,10-05-2024,08-03-2021,Lead,Permanent,Active,Unassigned,15-01-2020
493886,Vivaan Patel,05-12-1990,Male,Part-time,Division A,Marketing,Internal,20-05-2024,21-08-2021,Lead,Contractual,Active,Unassigned,09-02-2023
312751,Reyansh Gupta,04-05-1971,Male,Contract,Division C,Marketing,Internal,11-02-2024,10-09-2020,Mid,Temporary,Active,Unassigned,17-09-2021
795505,Ishaan Singh,16-06-1974,Male,Part-time,Division A,Operations,External,29-12-2023,27-12-2020,Lead,Temporary,Active,Assigned,30-12-2020
812380,Ayaan Roy,25-04-1995,Male,Part-time,Division A,Operations,External,12-11-2021,12-05-2020,Junior,Permanent,Active,Unassigned,02-09-2020
498597,Sai Krishna,01-12-1963,Male,Contract,Division A,Operations,Internal,19-07-2024,15-10-2021,Senior,Temporary,Active,Unassigned,02-03-2021
384741,Avni Shukla,30-03-1998,Female,Full-time,Division C,Marketing,Internal,25-09-2022,26-04-2022,Junior,Contractual,Inactive,Assigned,02-03-2020
414146,Sai Krishna,16-05-1985,Male,Contract,Division A,Operations,External,07-10-2022,06-08-2022,Junior,Permanent,Active,Unassigned,06-12-2023
915197,Aarav Sharma,17-01-1966,Female,Part-time,Division A,Operations,Internal,14-09-2021,08-01-2021,Lead,Permanent,Active,Unassigned,29-06-2021
444489,Krishna Nair,30-06-1984,Female,Contract,Division B,Marketing,External,26-02-2021,11-05-2020,Lead,Temporary,Active,Unassigned,20-10-2023
396729,Aarav Sharma,20-06-1992,Female,Full-time,Division B,Operations,Internal,23-04-2022,06-03-2022,Mid,Temporary,Active,Assigned,22-01-2024
315188,Aadhya Verma,28-04-1999,Male,Contract,Division B,Operations,Internal,03-05-2020,30-09-2019,Senior,Temporary,Active,Unassigned,13-05-2024
601690,Ananya Mehta,29-10-1972,Female,Contract,Division B,Marketing,External,07-01-2020,28-06-2019,Mid,Temporary,Active,Unassigned,18-08-2023
483285,Ishaan Singh,27-01-1965,Male,Part-time,Division A,Operations,External,20-02-2023,18-09-2022,Junior,Contractual,Inactive,Unassigned,12-04-2023
642398,Ayaan Roy,20-11-1964,Female,Full-time,Division A,Operations,External,29-01-2021,27-06-2020,Junior,Temporary,Active,Assigned,19-07-2022
813220,Aarohi Jain,02-05-1986,Male,Full-time,Division B,Operations,Internal,02-04-2024,28-12-2023,Mid,Permanent,Active,Assigned,21-09-2023
844677,Ira Joshi,24-01-1993,Female,Part-time,Division C,Operations,Internal,05-03-2022,10-09-2021,Lead,Contractual,Active,Unassigned,23-04-2024
182943,Diya Shah,02-03-2006,Female,Full-time,Division C,Operations,Internal,10-06-2024,17-04-2022,Mid,Contractual,Active,Unassigned,22-09-2022
749870,Vihaan Agarwal,10-07-1980,Male,Part-time,Division A,Operations,External,04-07-2020,01-02-2020,Lead,Temporary,Active,Assigned,31-12-2021
505310,Arjun Reddy,27-01-2000,Male,Contract,Division B,Operations,Internal,27-05-2024,12-04-2024,Mid,Contractual,Inactive,Assigned,02-05-2024
657675,Reyansh Gupta,25-06-2006,Female,Part-time,Division C,Marketing,External,31-03-2022,18-08-2021,Lead,Permanent,Active,Assigned,30-09-2022
102082,Aadhya Verma,01-02-1972,Female,Full-time,Division C,Marketing,External,04-03-2023,16-05-2022,Junior,Permanent,Active,Assigned,08-08-2021
681500,Ananya Mehta,23-07-1976,Male,Part-time,Division C,Operations,External,10-04-2022,07-11-2021,Lead,Temporary,Active,Assigned,18-09-2022
692773,Diya Shah,13-05-2000,Male,Contract,Division A,Operations,External,23-09-2022,21-03-2020,Junior,Permanent,Active,Unassigned,18-10-2020
656539,Vivaan Patel,11-01-2006,Male,Part-time,Division C,Operations,External,25-10-2022,14-10-2022,Lead,Temporary,Active,Unassigned,04-08-2020
114404,Riya Pandey,20-06-1982,Female,Part-time,Division A,Marketing,External,12-03-2020,26-01-2020,Junior,Temporary,Active,Assigned,09-02-2023
402888,Avni Shukla,09-08-2005,Male,Contract,Division B,Operations,Internal,17-05-2023,06-12-2022,Mid,Permanent,Active,Assigned,10-12-2023
365401,Arjun Reddy,02-08-1994,Female,Part-time,Division B,Operations,External,13-12-2021,09-03-2021,Senior,Permanent,Active,Unassigned,17-02-2024
373743,Ayaan Roy,27-11-1988,Male,Part-time,Division A,Marketing,External,22-10-2023,22-09-2023,Lead,Contractual,Inactive,Assigned,27-10-2022
390819,Krishna Nair,18-12-1981,Female,Full-time,Division C,Operations,Internal,24-02-2020,11-01-2020,Mid,Contractual,Active,Unassigned,09-01-2024
973101,Ira Joshi,01-08-1969,Female,Full-time,Division B,Operations,External,27-05-2024,03-11-2023,Lead,Temporary,Active,Unassigned,13-01-2021
383815,Anika Desai,30-12-1986,Female,Contract,Division A,Operations,External,13-12-2020,20-06-2020,Lead,Contractual,Active,Unassigned,31-03-2024
844568,Aditya Kumar,13-02-1998,Male,Full-time,Division A,Marketing,Internal,10-07-2024,17-06-2020,Senior,Contractual,Active,Assigned,28-06-2022
675343,Aarya Mishra,11-05-1972,Male,Contract,Division A,Marketing,External,24-07-2023,16-12-2022,Mid,Permanent,Active,Unassigned,19-03-2022
350998,Sai Krishna,22-05-1978,Female,Full-time,Division B,Marketing,External,15-10-2022,29-09-2022,Mid,Temporary,Inactive,Unassigned,27-04-2021
821512,Aadhya Verma,02-08-1985,Female,Full-time,Division B,Marketing,External,10-11-2022,01-05-2022,Lead,Temporary,Active,Unassigned,04-05-2020
697816,Aarohi Jain,16-11-1993,Female,Full-time,Division A,Operations,External,13-02-2024,14-05-2023,Junior,Temporary,Active,Assigned,26-04-2020
792570,Ira Joshi,03-02-1983,Male,Full-time,Division C,Marketing,Internal,20-09-2021,04-06-2021,Lead,Permanent,Active,Unassigned,21-03-2022
909453,Sai Krishna,25-08-1999,Male,Contract,Division C,Marketing,Internal,31-01-2020,30-08-2019,Lead,Permanent,Active,Assigned,14-05-2020
407604,Aarohi Jain,13-04-1999,Female,Full-time,Division C,Marketing,Internal,13-03-2024,04-11-2023,Lead,Temporary,Active,Assigned,08-08-2022
917271,Anika Desai,24-02-1987,Female,Full-time,Division A,Marketing,External,16-01-2020,23-12-2019,Mid,Contractual,Active,Unassigned,01-04-2022
259174,Anika Desai,15-04-1992,Male,Part-time,Division B,Operations,External,16-01-2020,28-09-2019,Junior,Permanent,Active,Unassigned,13-08-2020
578186,Riya Pandey,01-06-2001,Male,Contract,Division A,Marketing,Internal,09-05-2022,02-04-2020,Junior,Temporary,Active,Assigned,04-09-2022
617766,Riya Pandey,26-07-1992,Female,Full-time,Division A,Marketing,External,09-04-2022,03-03-2022,Senior,Temporary,Active,Assigned,19-08-2020
695120,Reyansh Gupta,15-07-1969,Female,Full-time,Division A,Marketing,Internal,01-07-2020,20-05-2020,Mid,Temporary,Active,Assigned,10-10-2023
926606,Reyansh Gupta,15-11-1999,Male,Full-time,Division A,Operations,Internal,12-02-2023,01-02-2021,Junior,Temporary,Active,Unassigned,24-05-2021
